Track,Player,Placement,GP Number
Mario Circuit,Connor,1,16
Mario Circuit,Matthew,2,16
Moo Moo Meadows,Tom,1,16
Moo Moo Meadows,Callum,3,16
Moo Moo Meadows,Connor,4,16
Moo Moo Meadows,Matthew,2,16
Faraway Oasis,Tom,2,16
Faraway Oasis,Callum,1,16
Faraway Oasis,Connor,3,16
Faraway Oasis,Matthew,5,16
Bowser's Castle,Tom,1,16
Bowser's Castle,Callum,2,16
Bowser's Castle,Connor,3,16
Bowser's Castle,Matthew,12,16
Koopa Troopa Beach,Tom,2,16
Koopa Troopa Beach,Callum,4,16
Koopa Troopa Beach,Connor,3,16
Koopa Troopa Beach,Matthew,1,16
Shy Guy Bazaar,Tom,4,16
Shy Guy Bazaar,Callum,3,16
Shy Guy Bazaar,Connor,1,16
Shy Guy Bazaar,Matthew,8,16
Dino Dino Jungle,Tom,4,16
Dino Dino Jungle,Callum,3,16
Dino Dino Jungle,Connor,1,16
Dino Dino Jungle,Matthew,2,16
Airship Fortress,Tom,4,16
Airship Fortress,Callum,3,16
Airship Fortress,Connor,1,16
Airship Fortress,Matthew,2,16
Peach Stadium,Tom,3,16
Peach Stadium,Callum,1,16
Peach Stadium,Connor,2,16
Peach Stadium,Matthew,4,16
Peach Beach,Tom,1,16
Peach Beach,Callum,5,16
Peach Beach,Connor,8,16
Peach Beach,Matthew,6,16
Starview Peak,Tom,4,16
Starview Peak,Callum,1,16
Starview Peak,Connor,5,16
Starview Peak,Matthew,2,16
Whistlestop Summit,Tom,2,16
Whistlestop Summit,Callum,3,16
Whistlestop Summit,Connor,4,16
Whistlestop Summit,Matthew,1,16
Mario Bros. Circuit,Tom,1,16
Mario Bros. Circuit,Callum,3,16
Mario Bros. Circuit,Connor,2,16
Mario Bros. Circuit,Matthew,5,16
Dry Bones Burnout,Tom,1,16
Dry Bones Burnout,Callum,2,16
Dry Bones Burnout,Connor,3,16
Dry Bones Burnout,Matthew,5,16
Dandelion Depths,Tom,3,16
Dandelion Depths,Callum,5,16
Dandelion Depths,Connor,2,16
Dandelion Depths,Matthew,1,16
Mario Circuit,Tom,2,17
Mario Circuit,Callum,3,17
Mario Circuit,Connor,5,17
Mario Circuit,Matthew,1,17
Mario Circuit,Evan,4,17
Mario Bros. Circuit,Tom,1,17
Mario Bros. Circuit,Callum,2,17
Mario Bros. Circuit,Connor,5,17
Mario Bros. Circuit,Matthew,4,17
Mario Bros. Circuit,Evan,6,17
Peach Stadium,Tom,1,17
Peach Stadium,Callum,3,17
Peach Stadium,Connor,4,17
Peach Stadium,Matthew,5,17
Peach Stadium,Evan,2,17
Dandelion Depths,Tom,2,17
Dandelion Depths,Callum,1,17
Dandelion Depths,Connor,3,17
Dandelion Depths,Matthew,4,17
Dandelion Depths,Evan,6,17
Cheep Cheep Falls,Tom,3,17
Cheep Cheep Falls,Callum,4,17
Cheep Cheep Falls,Connor,1,17
Cheep Cheep Falls,Matthew,2,17
Cheep Cheep Falls,Evan,5,17
Whistlestop Summit,Tom,1,17
